review_id,themes
t-8mpC0ryIc-cdnwoF8Hsw,"food_product_quality,staff_behavior"
rjnyXstBa7SUtlfrf-moyA,"service_speed,staff_behavior"
h46h5_2USejVTkfM3byl7g,food_product_quality
jQHWfUlgObQRh40PUDYU_w,"food_product_quality,cleanliness_ambiance"
_YFKHUDdzhgMhKS0m7oDSw,food_product_quality
vhSip9Ph1CXcblSYno-WSQ,"service_speed,food_product_quality"
8VMYtsXwvJBbZyblhG2vaQ,"staff_behavior,cleanliness_ambiance"
VeirSaiYPBiUiPqSARXLjg,"food_product_quality,staff_behavior"
3goSOvzcDl2mSt-VBtr8qQ,"service_speed,food_product_quality"
No1v2TNXh6Xqh2jB3LtPHw,food_product_quality
TAeKE5Pk6QQUzYr6X2a-Qw,"food_product_quality,pricing_value"
rbXZqzQQ-XSh4eymh6uJHg,"food_product_quality,pricing_value"
3vemS2gvS8-K725uiy07Tw,food_product_quality
wRHzNtxVkFNN3lGd_-fFSw,food_product_quality
zbXLSA9Q2tbqj7XjezSgPw,food_product_quality
VQPcBnLz9rcZu21ojUG6Xg,"food_product_quality,pricing_value"
ZlgV6ii3s3zfVA3zypQhZg,"staff_behavior,order_accuracy_wait_time"
BmiJQtpvEZt1opVn2d5o2g,cleanliness_ambiance
grdyNnpXXLVdg7qEdeO77g,"staff_behavior,food_product_quality"
euDs0rBA_m3WzQcbYu8pBA,"food_product_quality,staff_behavior"
xSViGchkd4HxsI5FH3FX7A,"food_product_quality,staff_behavior"
iZsb5oo4QmHGJlH43O6fxg,food_product_quality
Nc7ZnzIJs2982pTPXLR8fw,food_product_quality
ypEZOALGvQBqtwKQNOBSlw,food_product_quality
QJ-7jyZKj4Zw_GR-R0IvrQ,"pricing_value,staff_behavior"
s1EjO-QhSgKnlnjDdOI25g,order_accuracy_wait_time
3Pql6t6sF0I-aGNGLa8LgQ,"staff_behavior,cleanliness_ambiance"
lzbBTVhH_yjhhoMjmA9d4A,"staff_behavior,cleanliness_ambiance"
wldWclu3Dm_aScDXaKkN0A,"staff_behavior,food_product_quality"
ljWJ13-tfH0J8VxasxSfGg,cleanliness_ambiance
I6bhszbD-aPbSdd88VPf_A,"staff_behavior,cleanliness_ambiance"
UHRouHBxjdL9_vRE452aOQ,"staff_behavior,food_product_quality"
jo0Dv6XtK6h81jIxrxWV8w,"staff_behavior,food_product_quality"
2Y4bCyURdWJswn9X0tPTdg,"staff_behavior,cleanliness_ambiance"
Ka_ERhEOc0xJUpkcrYwkEw,staff_behavior
GnNFeuLBfaTgW1ttFX20lw,staff_behavior
zH-SEFwbTuJESYoGiNq4Mw,staff_behavior
0mGZk8GbVwazdCaf9Fl8rQ,staff_behavior
qVYqL-69jjhLIDQ_E4GsUw,"food_product_quality,service_speed"
EECnKqOZwgb0YCZZIumDAw,"cleanliness_ambiance,food_product_quality"
lOiIDa414fAgULXW7uTLCA,"food_product_quality,cleanliness_ambiance"
yAhTlL2iDiGdvt8QPk4LLA,"service_speed,pricing_value"
