review_id,user_id,business_id,stars,useful,funny,cool,text,date,period,merchant_status
t-8mpC0ryIc-cdnwoF8Hsw,5WTVFPWRpHvGVMUmUjtxJg,-361Hc0tlxSYdrH_C3OgzA,5,1,0,1,A HIDDEN GEM!!!!!!!!! I had the Chelo Kabob Barg and Kashke Badenjan!  It was out of this world.  Delicious.  Very nice folks too.   Attached to a store.  Clean and accessible.   Enjoyed the music on the TV.  A wonderful experience!!!!! Can't wait to return!!!!!!,2021-06-16 01:38:46,earlier,Growing
rjnyXstBa7SUtlfrf-moyA,d2Qobgu7myzpEuEd6jTB9w,-361Hc0tlxSYdrH_C3OgzA,1,0,0,0,"We had been to this restaurant before and it was better than average, but not last night when we took our guests there for dinner. I will summarize:
1. We ordered appetizer (Bademjoon), it came very late (came with the dinner). It wasn't even tasty, too salty;
2. The dinner came out 35 minutes after we ordered. Our Koobideh was hard as a rock and it had so much turmeric and fillers in it that tasted awful. Koobideh shouldn't have turmeric anyway but a little would be tolerable;
3. Our Barg was tough;
4. They serve the food on small plates. No complaints about the size of food and it wouldn't matter because the food was not good anyway;
5. They NEVER came to our table to refill our waters or to ask how the food was.
We will not dine there anymore.",2021-05-09 15:32:40,earlier,Growing
h46h5_2USejVTkfM3byl7g,B1CvITVmO9aD6NFk0U_Y1A,-361Hc0tlxSYdrH_C3OgzA,5,11,1,8,"I am half-Iranian and absolutely LOVE Persian cuisine. When I lived in South Florida, I had a number of good restaurants from which to choose... so upon moving here, I was rather dismayed to find only TWO Persian restaurants in the entire Tampa Bay area. Thankfully, Persia House of Kabobs is only about 15 minutes from my house, because the other restaurant (Mirage in Clearwater) is a bit more of a trek.

While this is more of a fast-casual restaurant, the quality of the food is on point. They don't have all of the varieties larger restaurants would have (such as my favorite Persian dish, fesenjan, or my favorite dessert, falloodeh), but their kabobs are very well done.

I usually order the jujeh (chicken) or koobideh (ground beef) kabobs, or they have a combo where you can get one skewer of each. The chicken is marinated and so flavorful, and the beef has a good amount of spices mixed in. And their Persian rice (which I prefer to other styles, it's not sticky since it gets rinsed multiple times before cooking) is pretty good. Each meal also comes with must o'khiar, which is a cucumber yogurt dip with mint and other herbs and spices. It's one of my favorite things to order at any Persian restaurant so I'm happy it's included with the meal! They also include a large pita, although I wish they had lavash bread instead (it's a papery thin bread that I love dipping in the yogurt).

Don't forget to ask for some sumac for your kabobs or rice, they have them in little to-go packets!",2021-04-28 01:21:29,earlier,Growing
jQHWfUlgObQRh40PUDYU_w,OPg_YrZvFY6fFvwSgR8ekw,-361Hc0tlxSYdrH_C3OgzA,4,0,0,0,"The place is very outdated but please give them a chance!! DELICIOUS food!! We had the Jujeh (Chicken) plate and the beef and koobideh plate and both were wonderful, juicy and cooked to perfection. The rice was so good, fluffy and well seasoned. We had one plate with the house salad and the other with the cucumber yogurt salad, totally delicious. The bread they serve before your meal arrives is sooo good and it's warm and toasty but soft. It is as if a pita bread and a na'an bread had a baby. REALLY GOOD!
The bathroom was a bit scary (but clean!!) and the whole store very outdated  but the food was so worth it! No pic because I was really just starved to death when I finally got here. I'll be back!",2021-04-25 19:23:49,earlier,Growing
_YFKHUDdzhgMhKS0m7oDSw,4v_1I47f3MEUXHkibt6CLA,-AWclhh1_2VnqPylPgBU3g,1,0,0,0,"Got the two lobster tails last night for dinner. I thought they weren't the greatest, especially one of them. I woke up this morning with food poisoning. Never going back here again.",2021-05-09 17:30:35,earlier,Growing
vhSip9Ph1CXcblSYno-WSQ,rupDa04VLkPBLTYYQ7UZfA,-AWclhh1_2VnqPylPgBU3g,1,0,0,0,"Worst Outback I have ever been! After 50 minutes waiting for a steak, I am very surprised to received the steak completely cold, as if was cooked some hours ago.
Then they said to me,sorry!!! 
I am only one ! But I will not be there again ! Ever",2021-03-29 00:59:38,earlier,Growing
8VMYtsXwvJBbZyblhG2vaQ,JczJfrZXmsc6RU8EO2eatA,-AWclhh1_2VnqPylPgBU3g,1,0,0,0,"Very disappointed.  All tables being used @(no social distancing at all) and a loud obnoxious group took over the bar area and made it their own, with party decor, balloons,etc like they owned the place. And so loud and annoying, honestly so stressful listening to their drunken loud voices and cheering and clapping. I did not enjoy my meal under these stressful conditions.  Worst of all none of these people wore masks!!
So if you want to get Covid, dine here, because they do not care! The day manager, an older man, is not at all nice. He made us wait for an empty table just because he could. And the drinks, just fancy fruit juice, don't waste your money. What a waste of $120.  No more!! This Outback does not care at all about the customer.  That group should have been asked to act more civilized or leave! And masks, please!",2021-03-18 03:44:42,earlier,Growing
VeirSaiYPBiUiPqSARXLjg,dk0HTbJDveXzae223AfQQA,-AWclhh1_2VnqPylPgBU3g,5,0,0,0,Came here for our anniversary last week. Food was delicious and the drinks were fabulous. Alberto is an amazing server and an asset to your restaurant.,2021-03-10 15:50:06,earlier,Growing
3goSOvzcDl2mSt-VBtr8qQ,_u9eoeB2sOF7jkKKf1dOIw,-AWclhh1_2VnqPylPgBU3g,1,0,0,0,"Called ahead to make sure the restaurant' was okay with waiting on us 30 minutes before they close...
Replied we serve till 10.
We're seated right away and ordered apps / drinks... took 15 minutes ( it's not busy only 4 tables around us)
The soup is cold, then they bring the wrong soup out...
Now the server acts as if we are bothering her - I asked her if we were bothering her . The response - it's just been a busy day - I care why ? It's called the hospitality business..... so the food is sub par and my Med rare prime rib is rare - not a problem, but no hot au jus .. so 15 minutes later Dustin the manager brings out the au jus ... only because we requested to see a manager..
So while he is at the table - not apologizing, I cut into my prime rib and there is a hair...
So to sum it up, he took my meal off the check - Well ya - I never got to eat it... The food was cold - undercooked - overcooked and was incorrect and we were made to feel like we were bothering them...
I still tipped her 10% and left her a note that she is in the hospitality business...
I rate outback a 3.2 put of 10.....
You might have lost a lifetime customer-the previous visit was also terrible service, but good food....
A Foody",2021-02-06 04:15:53,earlier,Growing
No1v2TNXh6Xqh2jB3LtPHw,6-voSWdQ7tMhb_BKJk1tDQ,-SCIBOTjKGJXmeMMPi-uoQ,5,0,0,0,"This place is a true hidden gem.  It is hard to find though.  It is located on the lobby floor of the Bankers Life building across from Fairfield Inn and Suites.  Everything is freshly made.  The empanadas are so good, but they sell out fast.  Call ahead if you want some.  

They are open Monday- Friday 7:30 - 3:00.",2021-07-09 18:05:45,earlier,Stable
TAeKE5Pk6QQUzYr6X2a-Qw,fUSV0l71k80bGudqPzOkmQ,-SCIBOTjKGJXmeMMPi-uoQ,5,0,0,0,"Great food, both breakfast and lunch menu's!  Recommend their empanada's, either beef or chicken as they are made daily and go quickly!  Located on the ground floor of the building with enough seating and spacing to feel very safe/comfortable.  They also make cafe-con-leche's and Cuban coffee's that are also superb.  Very reasonable priced.  Hot sandwiches made to order.",2021-06-09 18:56:27,earlier,Stable
rbXZqzQQ-XSh4eymh6uJHg,fUSV0l71k80bGudqPzOkmQ,-SCIBOTjKGJXmeMMPi-uoQ,5,0,0,0,"Great food, both breakfast and lunch menu's!  Recommend their empanada's, either beef or chicken as they are made daily and go quickly!  Located on the ground floor of the building with enough seating and spacing to feel very safe/comfortable.  They also make cafe' con leche's and cuban coffee's that are also superb.  Very reasonable priced.  Hot sandwiches made to order.",2021-01-29 21:20:15,earlier,Stable
3vemS2gvS8-K725uiy07Tw,i1LXM0CP2gdO2S_izj3xJg,-ib2qJmDKJgH_ZbtSu_HjA,5,0,0,0,"Found this place through google and my husband and I were very pleased, and we're very picky when it comes to pizza and wings! I would have personally loved more sauce on my hot wings but maybe next time I can just request more. The pizza was huge and the taste was great! I'd recommend, I'm sure we'll be back!",2021-07-07 03:41:04,earlier,Growing
wRHzNtxVkFNN3lGd_-fFSw,dQuRoC1MuKOQET3fvcda1w,-ib2qJmDKJgH_ZbtSu_HjA,2,0,0,0,"Not the best. Very overrated from the reviews. I wanted to try this place since I'm literally two stoplights away (I usually get pizza from Anthony's which is very good but I wanted to try something different). I ordered on Saturday evening (2/6/21) a 18"" Ham & Pineapple pizza with a side of 10 wings. Wings were good (not as good as BWW though). The pizza was edible but that's it....not much better than a frozen pizza. I rate it under every other place I've had around (Anthony's, Marcos, West Shore, Pizza Hut, papa johns, etc). It's thin crust pizza but the sauce had literally zero flavor...the pizza made me think of eating a piece of cardboard with cheese on it. It was the first time eating from there and more than likely will be the last. Not impressed!",2021-02-08 07:43:14,earlier,Growing
zbXLSA9Q2tbqj7XjezSgPw,5KzQoh_QheYDDpsdpC9yOQ,-n_beuzQuajaezPD2PyQvA,1,0,0,0,I got the sesame chicken with fried rice and broccoli and I couldn't even eat anymore after two bites. It tasted old and not like chicken at all.,2021-02-02 23:18:32,earlier,Stable
VQPcBnLz9rcZu21ojUG6Xg,-vMejGknme4PEDX3HdBhNw,03cvVjbkCOtiIt51M-MLFg,5,0,0,0,This place deserves all the praises. Their meat is amazing and reasonably priced. I hear the way the halal cows are raised and how the meat is prepared makes for better taste. All I know is I'm always asked to pick up steak from this specific butcher when visiting family.,2021-05-13 18:00:38,earlier,Stable
ZlgV6ii3s3zfVA3zypQhZg,It4dUQkA-edCcUSirsUKxA,03dIEDBsDERr6Osmey-udQ,1,0,0,0,"My husband and I went on a weekend getaway to Tampa from Ft. Lauderdale. We have been wanting to check out Steelbach for brunch for quite some time. We went there for brunch today - and what a disappointment. The hostess & waitress were both unfriendly. We told the waitress it was our first time dining there and she had to response for that. lol we thought she'd make recommendations or let us know what's popular. After taking our orders and giving our food (with a missing item), the waitress never came back to check to see if everything was ok. We had to call her over to tell her the eggs from our order was missing.. so that took another 15 min to come (while the other food that was supposed to be eaten with the eggs got cold). The waitress never apologized for the situation, all she said was they forgot it. She never came back to check in on us throughout our entire meal. We had to call her over again to ask for coffee refill.... and even after requesting it twice, she never refilled the coffee. Anyways, huge disappointment. Would never go back due to service at the location. Management needs to do a better job training their staff.",2021-07-19 01:02:48,earlier,Growing
BmiJQtpvEZt1opVn2d5o2g,0CJbzLAeobs-0DHcjVr-gA,03dIEDBsDERr6Osmey-udQ,1,0,0,0,Would give less than one-star. Had to listen to sirens and make up sex and explicit lyrics while eating a $50 dollar steak. When discussed with the manager they simply dismissed it and said they have no control over the executive music choice. They did acknowledge its not the first-time they have had to discuss this with customers. Needless to say I packed up my family and left. I won't expose them to that nor sponsor and condone that time of customer relations.,2021-07-17 20:46:31,earlier,Growing
grdyNnpXXLVdg7qEdeO77g,7PIZ6uiK5eztf3Deoqihfw,03dIEDBsDERr6Osmey-udQ,4,0,0,0,"Service was excellent. Loved our server Corynne. She had excellent recommendations and knew the menu well. We had the andouille sausage board with pretzel roll, mustard, apple butter and pickled veggies. I hate pickled veggies but otherwise it was good. We each had a cocktail. One was raspberry (mauvelous) and the other was cucumber (Suzy Greenberg). They were very good. My friend had the brick chicken and mac and cheese. Those portions are big. She liked it. I had the grouper. It was very good too. Neither of us are steak eaters so we didn't order it. We know they're known for that. But we figured we'd give it a try! I doubt I'll return though.",2021-07-15 22:24:55,earlier,Growing
euDs0rBA_m3WzQcbYu8pBA,EBNR8k6vxIJPnNXbQYC8Nw,03dIEDBsDERr6Osmey-udQ,4,3,0,2,"I've been wanting to try Steelbach for some time. Located inside Armature Works, I had passed by the front door countless times, until recently, when we stopped in for a birthday celebration in the friend group.

Touting themselves as a Southern inspired kitchen and chop house, Steelbach, partners with local farmers to bring a variety of fresh handpicked flavors to every dish. The portions are hearty, but know that everything in the menu is ala carte.

I ordered the local NY Strip steak cooked medium rare. It was cooked flawlessly, but was unfortunately over seasoned with WAY to much salt, so I had to bury it in the slab of butter that came on the side. Clogged arteries be damned! 

Without doubt, the sides are definitely big enough to share. I split an order of broccoli and an order of Macaroni and Cheese with my wife. Again, the broccoli was WAY over seasoned but the Mac and cheese, which consisted of campanelle pasta, gruyère, lemon, thyme and panko, was totally on point. 

My wife ordered Maud's Fried Chicken and it was enormous! Brined to perfection, the breading was flaky, crisp and light, successfully trapping all of the chickens delicious moisture inside.

One of our friends ordered a weird fruit/bread concoction, but sent it back because the bread was ""too dense"". The returned product was definitely not the same as the first offering and this time came served already sliced. The fruit did look wonderful though. 

Our service was mostly excellent, however, our waiter hung uncomfortably close and needs to brush his teeth more often. Overall, the experience was quite nice and we would consider going there again if we were in the area.",2021-07-08 01:23:07,earlier,Growing
xSViGchkd4HxsI5FH3FX7A,O73eKie8T1qqZKj1Q72L-Q,03dIEDBsDERr6Osmey-udQ,4,0,0,0,"I've been to Steelbach a few times. While some meals and service have been fantastic, others were lackluster making the place inconsistent. 

Most recently we went for brunch, and despite being one of only a few tables with plenty of waitstaff around, almost all our food came out cold / lukewarm. Our server was also not as attentive as I would expect given the quality of dinner service I've had in the past. 

The monkey bread was delicious, but that's about the only positive I have for brunch. Scored this higher due to past positives with their dinner service.",2021-07-06 19:46:53,earlier,Growing
iZsb5oo4QmHGJlH43O6fxg,AsLT5jN054fLAUma_H6ACg,03jQGGJ2ch0uHTtW-UUUqg,5,3,1,2,"The food is monstrously fantastic. My wife is pregnant so I ordered take out. I ordered the regular sized pastrami on rye with mustard, regular BLT, 2 orders of the cucumber salad and 2 slices of cake. The regular size for the sandwiches is HUGE and a ""slice"" of cake weighs more than a sandwich. We're having cake for the next week apparently. This place is great. My only complaint is that they use a little sugar in the cucumber/onion salad. I love it with just vinegar. I can't let it take away from the experience because I should've asked first. Just my preference. Anyway, if you haven't been here yet, it's a traditional Jewish deli that rocks.",2021-07-17 21:55:17,earlier,Declining
Nc7ZnzIJs2982pTPXLR8fw,IZX44aWucnkn1qwOpiC9tQ,03jQGGJ2ch0uHTtW-UUUqg,5,1,1,1,This is one of my favorite places to get corned beef sandwiches and hot pastrami sandwiches! I love their food and everyone I ever put on loves it too!,2021-07-11 18:47:38,earlier,Declining
ypEZOALGvQBqtwKQNOBSlw,bJgfxs6_h5Tcp5anvdTtYQ,03jQGGJ2ch0uHTtW-UUUqg,5,7,2,5,"Well it says it in the name folks this place is famous and for a reason!

Think ginormous sandwiches made by quite possibily the best Jewish Delicatessen I have ever come across and I have been eating some dam good Jewish deli meats from when I was a wee lad in grade school.

You really can't go wrong on anything you choose here and they give you a small free chocolate cookie for dessert!

If I lived closer I would probably come here at least once a month but this is the kind of food you have to work out on a weekly if not daily basis to work off the calories you will be endulging on!

If you live in Philadelphia and have not been here shame on you, get here ASAP!!

As always people SYOY!!!",2021-06-22 14:01:54,earlier,Declining
QJ-7jyZKj4Zw_GR-R0IvrQ,nbhYqnnpHT4wYHkT-ORcqQ,03jQGGJ2ch0uHTtW-UUUqg,4,5,1,3,"Food: 4.25 Out of 5
My goodness the portions at this place weren't what I expected. I ordered one of their specialty sandwiches, someone with corn beef & pastrami because those are my favorite cuts. Also ordered a slice of the cannoli cake. Flavors delivered and the portions justified the price.

Service: 4.5 out 5
Friendly folks working the counter. We ordered to go, but still had an enjoyable experience.

Environment: 4 Out of 5
A lot of open seating, but we didn't feel comfortable dining indoors, no physical barrier separating clientsThankfully there are benches & tables across the way from the restaurant. 

Overall:4.25 Out of 5
Taking my out of the area friends and family to try this neighborhood joint!",2021-06-19 23:37:20,earlier,Declining
s1EjO-QhSgKnlnjDdOI25g,2_4JtcA9zV6hvxKsJKqX-A,03jQGGJ2ch0uHTtW-UUUqg,5,1,0,1,It was great to see that the bakery and deli of famous fourth Street is in full swing in 2021. We just stopped by to pick up some takeout and were thrilled that we could get everything on the menu thank you,2021-06-13 20:08:31,earlier,Declining
3Pql6t6sF0I-aGNGLa8LgQ,KXshrp838UN9M_J6hjSyyQ,0Nqa0zPHoB_GVucVMd9f6w,5,3,0,0,"My wife and I went on a Friday night and hung out til about midnight and we had a great time. The dancers were really nice (and gorgeous) and not pushy (Stevie especially was fantastic, she gave us a couples dance and hung out with us for a bit). The bartenders/waitresses/masseuse were all attentive without being pushy. There were a couple dozen dancers around by the end of the night, but (and this is my only complaint) towards 11PM it was a little hard to get their attention for dances. We wanted to get a few more dances but it just wasn't in the cards. We'll be going back soon though, it quickly became my wife's favorite bar!

If you're looking for a good club to visit as a couple, I'd highly recommend this one, but maybe go a tad earlier so your night doesn't peter out like ours did. We'll try happy hour next time. That said, everyone was polite, it was clean, no one was weird, and it was an incredibly entertaining evening.",2021-04-22 18:14:17,earlier,Declining
lzbBTVhH_yjhhoMjmA9d4A,0b3eX8Oyn2bK9xwMwndsHg,0uWnByfZNCs0MU1Ag10ujw,1,0,0,0,This team needs serious training from a managers perspective. Worst customer service and over staffed. They are not team players. And some workers just stand or talk inappropriately in front of customers. I can see this going out of business in the future because of the work flow and customer service. No napkins provider or utensils. Threw my fried in a bag unwrapped. Unsanitary.,2021-03-13 22:44:42,earlier,Stable
wldWclu3Dm_aScDXaKkN0A,RC4O9gLhMbTowJ53iYWOoQ,1B6S6XDoX1fWnQI0_K1b1Q,5,0,0,0,"Five stars all around. Live band. Quality gin. Good food. Great service.

Came by with a reservation for 7 or so for a Friday night and were seated quickly! Everyone is really kind and on top of it - opening doors, communicating with each other and whatnot. Good team, it seemed.

We had an extremely accommodating waiter who was just so on top of it - clearing plates, getting extra rounds for drinks, explaining the gin.

The octopus was prepared very well and had amazing flavor! I would definitely get it again.

I also went to town on the endive salad. Super refreshing.

The singers were talented and their voices fueled my soul!",2021-07-11 19:22:05,earlier,Growing
