business_id,merchant_status,priority_group,theme,count
ROeacJQwBeh05Rqg7F6TCg,Growing,Expand,food_product_quality,6
hTyJhpH7Bl5moMWQb4Sosg,Stable,Expand,food_product_quality,8
68ThEdiK0eWCEgGEmV9Tng,Stable,Expand,food_product_quality,10
eqNutOMnPqKa9QDAY6KfEw,Growing,Expand,food_product_quality,6
5m3ND7lNNd6zo-bNQGoXhQ,Stable,Monitor / Intervene,food_product_quality,1
WO5nr-4sjVs506BdCLL0aA,Declining,Growth Opportunity,food_product_quality,8
h85b3MFPWyaopMBy8DpBpA,Growing,Expand,food_product_quality,9
xkTjLbBC7uB-rAIDqAm-sw,Stable,Expand,food_product_quality,10
knA3b_WnHUJAyrIzzL9Lrg,Growing,Expand,food_product_quality,5
Bih0eT_lbbCUwKmGYpX0hw,Growing,Expand,food_product_quality,8
EmbZ4QwVt_zgfqMOCATsyA,Stable,Expand,food_product_quality,2
E-DcL1u330qwvoxXhipmUQ,Stable,Monitor / Intervene,food_product_quality,3
C_EtrXTygRX5RTUOKtO6Dg,Stable,Expand,food_product_quality,6
LnZvGYbqozanOSevcftnrw,Stable,Expand,food_product_quality,10
jULIPydhMj18KOI5OHTwfA,Declining,Growth Opportunity,food_product_quality,8
gCcJTKC40CL0XtYYGfcXDw,Declining,Growth Opportunity,food_product_quality,9
wCluBbW9nzS7MEMFltMwJw,Growing,Monitor / Intervene,food_product_quality,2
B-DiQpcSTJ7oMMnwzbAGTQ,Growing,Expand,food_product_quality,2
cx5rIVMN-FXwBkl2Kbot7w,Stable,Expand,food_product_quality,8
JUlsvVAvZvGHWFfkKm0nlg,Stable,Expand,food_product_quality,7
99zoELPcbwRBUqiPoaPqiQ,Growing,Expand,food_product_quality,9
Uc6PdjT_MO5bRPQsUUEy5Q,Stable,Expand,food_product_quality,9
PYUI1OJVksGUbCrteU68bw,Declining,Growth Opportunity,food_product_quality,9
l7b33ubze8Jqw7C4I1CAuA,Declining,Reassess,food_product_quality,0
2VuOLrhe2Iu_FRz1gEIqQA,Growing,Expand,food_product_quality,5
SwBhaxfQPbyhsi0QHUAN0A,Growing,Monitor / Intervene,food_product_quality,1
RnqU698MbIjq_eZHEzYL6g,Growing,Expand,food_product_quality,4
uBDXcXlLR9IuRV1N2m0SPQ,Stable,Expand,food_product_quality,10
tm94_vqmMMeAv01L-7FJzQ,Declining,Growth Opportunity,food_product_quality,9
cXSyVvOr9YRN9diDkaWs0Q,Growing,Expand,food_product_quality,8
UWk9hczxAjMT6y5C3826fw,Declining,Growth Opportunity,food_product_quality,3
OoFCe8VbzzCr88SGC08omw,Growing,Expand,food_product_quality,9
38yHZCHWgPZlDj5SqdNcpA,Growing,Monitor / Intervene,food_product_quality,3
cdiN0gHvZo3i64jwS990fQ,Declining,Growth Opportunity,food_product_quality,5
h0tUOsL3sRYVqSQlxWjW5g,Growing,Expand,food_product_quality,8
1PMlvTeQr3BpTm6GqOEckQ,Stable,Monitor / Intervene,food_product_quality,1
