review_id,sentiment_score,stars
t-8mpC0ryIc-cdnwoF8Hsw,0.92,5
rjnyXstBa7SUtlfrf-moyA,-0.78,1
h46h5_2USejVTkfM3byl7g,0.73,5
jQHWfUlgObQRh40PUDYU_w,0.81,4
_YFKHUDdzhgMhKS0m7oDSw,-0.88,1
vhSip9Ph1CXcblSYno-WSQ,-0.85,1
8VMYtsXwvJBbZyblhG2vaQ,-0.92,1
VeirSaiYPBiUiPqSARXLjg,0.79,5
3goSOvzcDl2mSt-VBtr8qQ,-0.9,1
No1v2TNXh6Xqh2jB3LtPHw,0.75,5
TAeKE5Pk6QQUzYr6X2a-Qw,0.8,5
rbXZqzQQ-XSh4eymh6uJHg,0.8,5
3vemS2gvS8-K725uiy07Tw,0.7,5
wRHzNtxVkFNN3lGd_-fFSw,-0.8,2
zbXLSA9Q2tbqj7XjezSgPw,-0.7,1
VQPcBnLz9rcZu21ojUG6Xg,0.8,5
ZlgV6ii3s3zfVA3zypQhZg,-0.8,1
BmiJQtpvEZt1opVn2d5o2g,-0.9,1
grdyNnpXXLVdg7qEdeO77g,0.6,4
euDs0rBA_m3WzQcbYu8pBA,0.7,4
xSViGchkd4HxsI5FH3FX7A,-0.4,4
iZsb5oo4QmHGJlH43O6fxg,0.8,5
Nc7ZnzIJs2982pTPXLR8fw,0.9,5
ypEZOALGvQBqtwKQNOBSlw,0.85,5
QJ-7jyZKj4Zw_GR-R0IvrQ,0.6,4
s1EjO-QhSgKnlnjDdOI25g,0.7,5
3Pql6t6sF0I-aGNGLa8LgQ,0.7,5
lzbBTVhH_yjhhoMjmA9d4A,-0.8,1
wldWclu3Dm_aScDXaKkN0A,0.9,5
ljWJ13-tfH0J8VxasxSfGg,0.6,4
I6bhszbD-aPbSdd88VPf_A,0.0,5
UHRouHBxjdL9_vRE452aOQ,0.9,5
jo0Dv6XtK6h81jIxrxWV8w,0.85,5
2Y4bCyURdWJswn9X0tPTdg,0.7,5
Ka_ERhEOc0xJUpkcrYwkEw,0.8,5
GnNFeuLBfaTgW1ttFX20lw,0.75,5
zH-SEFwbTuJESYoGiNq4Mw,0.85,5
0mGZk8GbVwazdCaf9Fl8rQ,0.9,5
qVYqL-69jjhLIDQ_E4GsUw,-0.8,1
EECnKqOZwgb0YCZZIumDAw,0.8,5
lOiIDa414fAgULXW7uTLCA,0.8,5
yAhTlL2iDiGdvt8QPk4LLA,-0.6,2
gwbZISfCY8aenXe8mvFOiQ,-0.8,1
kNx74DAyP4huBdrxnEEr9Q,0.0,3
2T-x1AkiCMkUrGu_J-5rWA,0.1,3
TzqCODk5SNKYBI-hCqw06A,-0.7,1
dHXpUaAHHPylpfEGsUgIgA,0.7,5
t2bkrC1KgdPkp0qQ62TxjQ,0.0,4
CmhdlTSkkJuSzSUyMhY0EQ,0.8,5
PHPbpYNhzBRGD7CpJwQm3g,-0.3,3
ijUZeqHTgz_iis59L8q7HQ,-0.8,3
oFpKtjmoMAmHpyU6MdNKzQ,-0.9,2
oWqvJCsYEHZT11yhnwqF2g,0.8,5
d9neXdEzE9S6VhlCjI6NSQ,0.7,5
XaOBMuBobDUm3po81-vRWQ,0.9,5
URiOcjm-5v-uxw3M4gnOeg,0.6,5
B7vNbmXDh42K6EqdB85hqg,0.85,5
5m9xK5jmV-2oj0JrqjOxIw,0.8,5
gsQZfCjLxHOdWnvaIYVY7w,0.9,5
IxAZtKSNasVU1X5TAMPu3Q,-0.7,2
sgiQmAsjuKWgLEkPx2lTHg,-0.3,3
vbXTXVrfQ-cew4m15l7IAQ,-0.9,1
zbINfe_qLaYlqm_IZHm2Jg,-0.8,1
