business_id,name,merchant_status,priority_group,cleanliness_ambiance,food_product_quality,order_accuracy_wait_time,other_none,pricing_value,service_speed,staff_behavior
ROeacJQwBeh05Rqg7F6TCg,BAP,Growing,Expand,1,6,0,0,2,0,2
hTyJhpH7Bl5moMWQb4Sosg,Island Fin Poké,Stable,Expand,1,8,1,0,2,0,7
68ThEdiK0eWCEgGEmV9Tng,Southgate,Stable,Expand,1,10,0,0,4,1,4
eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,Growing,Expand,3,6,2,0,0,0,6
5m3ND7lNNd6zo-bNQGoXhQ,Three 12 Sport Bar and Lounge,Stable,Monitor / Intervene,1,1,2,0,0,1,3
WO5nr-4sjVs506BdCLL0aA,Kuchi Sushi & Hibachi,Declining,Growth Opportunity,4,8,0,0,2,1,3
h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,Growing,Expand,0,9,0,0,0,3,3
xkTjLbBC7uB-rAIDqAm-sw,Los Comparres,Stable,Expand,0,10,0,0,4,0,5
knA3b_WnHUJAyrIzzL9Lrg,Earl of Sandwich,Growing,Expand,1,5,0,0,0,0,3
Bih0eT_lbbCUwKmGYpX0hw,Ricci's Hoagies,Growing,Expand,0,8,2,0,2,0,2
EmbZ4QwVt_zgfqMOCATsyA,Let Them Eat Cake,Stable,Expand,0,2,0,0,0,0,1
E-DcL1u330qwvoxXhipmUQ,George's Sandwich Shop,Stable,Monitor / Intervene,0,3,0,0,2,0,1
C_EtrXTygRX5RTUOKtO6Dg,Copabanana,Stable,Expand,1,6,0,1,5,0,4
LnZvGYbqozanOSevcftnrw,HipCityVeg - University City,Stable,Expand,0,10,2,0,3,0,1
jULIPydhMj18KOI5OHTwfA,Buena Onda,Declining,Growth Opportunity,2,8,2,0,1,0,2
gCcJTKC40CL0XtYYGfcXDw,Smiley's Cafe,Declining,Growth Opportunity,1,9,0,0,1,0,5
wCluBbW9nzS7MEMFltMwJw,Tasties,Growing,Monitor / Intervene,0,2,1,0,2,0,0
B-DiQpcSTJ7oMMnwzbAGTQ,Cucina Zapata,Growing,Expand,0,2,0,1,1,0,0
cx5rIVMN-FXwBkl2Kbot7w,North 30th Sports Pub & Grille,Stable,Expand,4,8,1,0,1,1,4
JUlsvVAvZvGHWFfkKm0nlg,El Camino Real,Stable,Expand,0,7,0,0,2,1,6
99zoELPcbwRBUqiPoaPqiQ,Bold Coffee Bar,Growing,Expand,1,9,0,0,0,2,5
Uc6PdjT_MO5bRPQsUUEy5Q,Anthony's Coal Fired Pizza,Stable,Expand,0,9,2,0,0,0,6
PYUI1OJVksGUbCrteU68bw,Bourbon & Branch,Declining,Growth Opportunity,3,9,0,0,0,1,5
l7b33ubze8Jqw7C4I1CAuA,Embassy Suites by Hilton Tampa Airport Westshore,Declining,Reassess,4,0,0,0,1,2,7
2VuOLrhe2Iu_FRz1gEIqQA,Michelle Faedo's Tampeño Cuisine,Growing,Expand,1,5,1,1,0,0,0
SwBhaxfQPbyhsi0QHUAN0A,Seminole Hard Rock Hotel & Casino Tampa,Growing,Monitor / Intervene,3,1,1,1,0,0,9
RnqU698MbIjq_eZHEzYL6g,Top China,Growing,Expand,1,4,1,0,1,2,1
uBDXcXlLR9IuRV1N2m0SPQ,Pho Street,Stable,Expand,0,10,2,0,3,0,0
tm94_vqmMMeAv01L-7FJzQ,Mayura Indian Restaurant,Declining,Growth Opportunity,1,9,0,0,2,0,5
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,Growing,Expand,0,8,1,0,1,2,2
UWk9hczxAjMT6y5C3826fw,Cicis,Declining,Growth Opportunity,0,3,0,0,0,2,1
OoFCe8VbzzCr88SGC08omw,Buk Chon Korean Cuisine,Growing,Expand,3,9,0,1,1,0,3
38yHZCHWgPZlDj5SqdNcpA,Mama Rosa's Pizza,Growing,Monitor / Intervene,1,3,1,0,1,0,5
cdiN0gHvZo3i64jwS990fQ,Alez Haitian Cuisine,Declining,Growth Opportunity,1,5,0,1,1,0,1
h0tUOsL3sRYVqSQlxWjW5g,Minerva Indian Restaurant,Growing,Expand,1,8,2,0,1,3,3
1PMlvTeQr3BpTm6GqOEckQ,Panda Express,Stable,Monitor / Intervene,0,1,0,0,0,1,1
D1AGSvIci0E53E1Yix1mXA,Taco Bell,Stable,Monitor / Intervene,1,0,2,0,0,0,3
gkqfNyv3D84B0WR5GZOpZQ,Originals Italian Restaurant & Bar,Declining,Growth Opportunity,2,2,1,0,2,0,4
R_Wi9jh57H_OzzAVWO71Bw,Psomi,Growing,Expand,6,10,0,0,0,1,1
kgZjJTGNc6WjKVBiSqNUoA,En Mi Viejo San Juan,Stable,Expand,0,6,1,0,0,1,5
ES8YqqXVu2TO6o2iwAOYSQ,Chef Thai & Sushi,Declining,Growth Opportunity,0,8,2,0,2,0,2
