feature,segment,segment_population,treatment_population,control_population,treatment_conversions,control_conversions,treatment_conversion_rate,control_conversion_rate,absolute_lift,relative_lift,z_statistic,p_value,ci_lower,ci_upper,adequate_sample_size,statistically_reliable,attractive_segment
f8,"(3.634, 3.911]",3539789,3023235,516554,34761,3851,0.011497948389721607,0.007455174096028683,0.004042774293692924,0.5422776506113359,25.85198045294229,2.3114908697939363e-147,0.0037791970359578745,0.0043063515514279735,True,True,True
f8,"(3.911, 3.972]",10439803,8859420,1580383,1950,212,0.0002201047021136824,0.00013414469783590435,8.596000427777805e-05,0.6408006105685269,6.918267938543286,4.5719896188638676e-12,6.54306139038234e-05,0.00010648939465173271,True,True,False
f6,"(-31.431, -6.699]",3622644,3102297,520347,24872,2450,0.008017285256698505,0.004708396512327351,0.0033088887443711544,0.7027634005988967,25.53042639352976,9.058710869142937e-144,0.0030980675028185215,0.0035197099859237873,True,True,True
f6,"(-6.699, -2.411]",4418921,3752509,666412,4793,599,0.0012772787486985374,0.0008988433581628182,0.0003784353905357192,0.4210248505470613,8.154816713185344,3.497098220283981e-16,0.0002979198620999629,0.00045895091897147554,True,True,False
f6,"(-2.411, 0.294]",5938027,5027849,910178,7046,1014,0.0014013945128423706,0.0011140677977274774,0.00028732671511489316,0.25790774645941145,6.851059079617001,7.330523157938438e-12,0.00021139136922604254,0.00036326206100374377,True,True,False
f0,"(12.615, 21.923]",6989796,5949663,1040133,32999,3558,0.005546364558799381,0.0034207163891540795,0.0021256481696453012,0.6214043866322867,27.72907623392161,3.1157723569222336e-169,0.0019985572522533985,0.002252739087037204,True,True,True
f0,"(21.923, 24.436]",3494900,2968163,526737,2384,321,0.0008031903908242236,0.0006094122873464366,0.00019377810347778702,0.3179753797245455,4.660472896591352,3.1548370377689546e-06,0.00011974724366325127,0.0002678089632923228,True,True,False
f0,"(24.436, 26.745]",3494896,2964829,530067,1328,184,0.00044791790690120744,0.0003471259293636465,0.00010079197753756097,0.2903614193337083,3.2501937005584827,0.0011532642766722634,4.5159251360733435e-05,0.0001564247037143885,True,True,False
f2,"(8.213000000000001, 8.723]",10484694,8918460,1566234,34384,3810,0.0038553741340993848,0.002432586701603975,0.0014227874324954097,0.5848866277026287,27.25889095491958,1.3038086427881333e-163,0.0013355731472929765,0.001510001717697843,True,True,True
f2,"(8.723, 9.052]",3494898,2964195,530703,2327,253,0.0007850360721882333,0.0004767261537997712,0.00030830991838846206,0.6467233146976759,7.6158285976869635,2.6200518284657857e-14,0.0002414829659175811,0.000375136870859343,True,True,False
